VESSEL ID,VESSEL TYPE,SIZE RANGE,AGE RANGE,CAPACITY
293256,Container,Panamax,10-15,4045
293257,Container,Panamax,10-15,3700
293258,Container,Panamax,10-15,3700
293260,Container,Post panamax,10-15,7226
293261,Container,Post panamax,10-15,7226
293571,Container,Feeder,10-15,1702
293792,Container,Post panamax,10-15,5512
294830,Bulk,Handy,10-15,28685
294834,Bulk,Handy,10-15,32973
294836,Bulk,Handy,10-15,32874
294847,Container,Feedermax,10-15,2226
294848,Container,Feedermax,10-15,2262
294987,Bulk,Handy,10-15,31784
294996,Bulk,Panamax,10-15,73789
294999,Bulk,Panamax,10-15,72270
295000,Bulk,Panamax,10-15,72493
295001,Bulk,Panamax,10-15,72493
295005,Bulk,Handy,10-15,23622
295006,Bulk,Handy,10-15,23641
295066,Bulk,Handymax,10-15,50913
295073,Bulk,Panamax,10-15,73747
295145,Bulk,Panamax,10-15,69997
302941,Bulk,Handymax,5-10,50457
302942,Bulk,Handymax,5-10,50457
303058,Container,Small,5-10,698
304268,Container,Panamax,5-10,3091
304269,Container,Panamax,5-10,3091
304684,Container,Unspecified,10-15,
305145,Bulk,Capesize,5-10,175775
306950,Container,Unspecified,10-15,
307639,Bulk,Capesize,5-10,172424
308824,Container,Feedermax,5-10,2226
310984,Bulk,Handy,5-10,37180
310990,Bulk,Handymax,5-10,52009
312042,Container,Unspecified,>30,
312965,Bulk,Handymax,5-10,53806
312966,Bulk,Handymax,5-10,53806
312967,Bulk,Handymax,5-10,53806
312968,Bulk,Handymax,5-10,53806
313226,Container,Feeder,5-10,1102
313369,Container,Feeder,5-10,1728
313399,Bulk,Handymax,5-10,53125
313562,Bulk,Panamax,5-10,91439
313767,Container,Post panamax,5-10,5668
313770,Container,Post panamax,5-10,5668
313772,Container,Post panamax,5-10,5668
313774,Container,Post panamax,5-10,5668
313862,Container,Panamax,5-10,4051
313863,Container,Panamax,5-10,4051
313864,Container,Panamax,5-10,4253
314443,Container,Panamax,5-10,4444
314444,Container,Panamax,5-10,4444
316062,Bulk,Handymax,5-10,50380
316382,Bulk,Handymax,5-10,53350
316383,Bulk,Handymax,5-10,53350
316802,Container,Panamax,5-10,3091
316804,Container,Panamax,5-10,3091
317502,Container,Panamax,5-10,4051
317542,Container,Panamax,5-10,4051
317543,Container,Panamax,5-10,4253
317544,Container,Panamax,5-10,4051
317546,Container,Panamax,5-10,4051
317547,Container,Panamax,5-10,4253
317993,Bulk,Capesize,5-10,203508
318302,Bulk,Handy,5-10,26737
319428,Container,Post panamax,5-10,6492
319429,Container,Post panamax,5-10,6492
319430,Container,Post panamax,5-10,6266
319883,Container,Feedermax,5-10,2824
320445,Container,Feedermax,5-10,2478
320446,Container,Feedermax,5-10,2478
320447,Container,Feedermax,5-10,2478
320468,Bulk,Capesize,5-10,185909
321350,Container,Post panamax,5-10,7731
321351,Container,Post panamax,5-10,7731
321382,Container,Panamax,5-10,3237
321562,Bulk,Handy,5-10,27112
322047,Container,Feedermax,5-10,2600
322103,Bulk,Handymax,5-10,52587
322191,Bulk,Panamax,5-10,75926
322205,Container,Post panamax,5-10,6246
322206,Container,Post panamax,5-10,6246
322365,Container,Feeder,5-10,1150
322720,Container,Feedermax,5-10,2496
323302,Container,Small,5-10,868
323306,Container,Small,5-10,868
323308,Container,Small,5-10,868
323311,Container,Small,5-10,868
323369,Container,Panamax,5-10,3091
323370,Container,Panamax,5-10,3091
323371,Container,Panamax,5-10,3091
323372,Container,Panamax,5-10,3091
323596,Bulk,Capesize,5-10,176298
324496,Bulk,Handymax,5-10,52579
324538,Container,Post panamax,5-10,5752
324539,Container,Post panamax,5-10,5752
324540,Container,Post panamax,5-10,5752
324609,Container,Feeder,5-10,1200
324610,Container,Feeder,5-10,1200
324612,Container,Feeder,5-10,1200
324628,Container,Feedermax,5-10,2586
324630,Container,Feedermax,5-10,2586
324631,Container,Feedermax,5-10,2502
324643,Container,Feedermax,5-10,2502
324787,Container,Feeder,5-10,1618
324788,Container,Feeder,5-10,1618
324803,Bulk,Handymax,5-10,53035
324805,Bulk,Handymax,5-10,53098
324964,Bulk,Handymax,5-10,50338
325083,Bulk,Handymax,5-10,52202
325084,Bulk,Handymax,5-10,52191
325408,Container,Panamax,5-10,4500
325409,Container,Panamax,5-10,4500
325410,Container,Panamax,5-10,4500
325412,Container,Panamax,5-10,4500
325428,Bulk,Handymax,5-10,52038
325588,Container,Panamax,5-10,3028
325647,Container,Post panamax,5-10,6750
325648,Container,Post panamax,5-10,6750
325707,Container,Panamax,5-10,3028
325989,Bulk,Handy,5-10,34656
326147,Bulk,Handy,5-10,36489
326208,Container,Panamax,5-10,3091
326211,Container,Panamax,5-10,3091
326212,Container,Panamax,5-10,3091
326253,Container,Post panamax,5-10,7731
326254,Container,Post panamax,5-10,7731
326255,Bulk,Capesize,5-10,176343
326289,Container,Panamax,5-10,4200
326291,Container,Panamax,5-10,4546
326292,Container,Panamax,5-10,4444
326355,Bulk,Handymax,5-10,53098
326487,Bulk,Panamax,5-10,76015
326488,Bulk,Panamax,5-10,76015
326567,Container,Feedermax,5-10,2478
326568,Container,Feedermax,5-10,2478
326569,Bulk,Handymax,5-10,52395
326669,Container,Post panamax,5-10,6732
326670,Container,Post panamax,5-10,6732
326710,Container,Small,5-10,862
326712,Container,Small,5-10,862
326816,Container,Post panamax,5-10,6732
327008,Container,Small,5-10,677
327009,Container,Small,5-10,677
327019,Container,Feeder,5-10,1470
327203,Container,Panamax,5-10,3600
327207,Container,Feedermax,5-10,2824
327247,Container,Feedermax,5-10,2824
327507,Bulk,Panamax,5-10,76858
327533,Container,Panamax,5-10,4402
327534,Container,Panamax,5-10,4402
327535,Container,Panamax,5-10,4402
327907,Bulk,Capesize,5-10,175531
327909,Bulk,Capesize,5-10,174732
327910,Bulk,Capesize,5-10,174766
327931,Bulk,Panamax,5-10,75318
327938,Bulk,Handymax,5-10,55180
327948,Bulk,Capesize,5-10,172694
327996,Bulk,Handymax,5-10,52447
327997,Bulk,Handymax,5-10,52454
328090,Container,Small,5-10,660
328092,Container,Small,5-10,660
328093,Container,Small,5-10,660
328270,Bulk,Handy,5-10,32259
328737,Container,Small,5-10,750
328739,Container,Small,5-10,750
328742,Container,Small,5-10,750
328758,Container,Feeder,5-10,1306
328837,Container,Feeder,5-10,1740
328839,Container,Feeder,5-10,1400
328840,Container,Feeder,5-10,1400
328959,Container,Feeder,5-10,1350
329077,Container,Post panamax,5-10,5680
329121,Container,Post panamax,5-10,6408
329262,Container,Post panamax,5-10,7731
329263,Container,Post panamax,5-10,7731
329397,Bulk,Panamax,5-10,75932
329539,Bulk,Handy,5-10,27102
329541,Bulk,Handymax,5-10,51196
329620,Bulk,Handy,5-10,27101
329712,Bulk,Handy,5-10,31829
329713,Bulk,Handy,5-10,31837
330137,Container,Panamax,5-10,4500
330138,Container,Panamax,5-10,4500
330139,Container,Panamax,5-10,4500
330143,Bulk,Capesize,5-10,203315
330786,Container,Unspecified,10-15,
330857,Bulk,Panamax,5-10,76945
331614,Container,Feedermax,5-10,2607
331617,Container,Feedermax,5-10,2495
331862,Container,Feedermax,5-10,2495
332025,Bulk,Handy,5-10,32700
332026,Bulk,Handy,5-10,32751
332146,Container,Feeder,5-10,1118
332148,Container,Feeder,5-10,1150
332263,Container,Small,5-10,513
332265,Container,Small,5-10,513
332276,Bulk,Panamax,5-10,75707
332693,Bulk,Panamax,5-10,75834
333237,Container,Post panamax,5-10,6492
333239,Container,Post panamax,5-10,6492
334456,Container,Post panamax,5-10,6600
334488,Container,Post panamax,5-10,6600
334502,Container,Post panamax,5-10,6600
334508,Container,Post panamax,5-10,6600
334511,Container,Post panamax,5-10,6600
334754,Container,Panamax,5-10,4500
335114,Bulk,Handymax,5-10,45213
335179,Bulk,Handymax,5-10,48104
335180,Bulk,Handymax,5-10,53026
335182,Bulk,Handymax,5-10,52982
335189,Bulk,Handymax,5-10,52491
335711,Container,Feedermax,5-10,2524
335713,Bulk,Handymax,5-10,52246
335716,Container,Feedermax,5-10,2260
335718,Container,Feedermax,5-10,2260
335720,Container,Feedermax,5-10,2260
335721,Container,Feedermax,5-10,2226
335740,Container,Post panamax,5-10,6492
335741,Bulk,Handymax,5-10,50344
335761,Bulk,Capesize,5-10,184872
335764,Container,Panamax,5-10,4051
335771,Container,Panamax,5-10,4051
335773,Container,Panamax,5-10,4051
335778,Container,Panamax,5-10,4051
335828,Container,Panamax,5-10,3534
335831,Container,Panamax,5-10,3534
335833,Bulk,Capesize,5-10,175526
335867,Bulk,Unspecified,>30,
335883,Bulk,Handy,5-10,35069
335938,Container,Small,5-10,630
336286,Bulk,Handymax,5-10,56060
336287,Bulk,Handymax,5-10,56025
336300,Bulk,Capesize,5-10,203277
336306,Bulk,Capesize,5-10,203095
336589,Container,Small,5-10,450
336591,Container,Small,5-10,660
336595,Container,Small,5-10,450
336720,Bulk,Handy,5-10,37301
336721,Bulk,Handy,5-10,37384
337278,Container,Small,5-10,660
337320,Container,Small,5-10,660
337322,Bulk,Capesize,5-10,171128
337412,Container,Feeder,5-10,1076
337414,Container,Feeder,5-10,1118
337777,Bulk,Handymax,5-10,50246
337962,Container,Small,5-10,862
338102,Bulk,Handy,5-10,31817
338103,Bulk,Handy,5-10,32039
338151,Bulk,Capesize,5-10,171320
338152,Bulk,Capesize,5-10,171320
338193,Bulk,Handy,5-10,36300
338385,Bulk,Handymax,5-10,41675
338471,Bulk,Handymax,5-10,50337
338472,Bulk,Panamax,5-10,91438
338492,Container,Panamax,5-10,4648
338551,Bulk,Panamax,5-10,76629
338751,Bulk,Handy,5-10,32262
338822,Bulk,Capesize,5-10,171095
338830,Container,Feedermax,5-10,2600
338832,Bulk,Capesize,5-10,170050
338852,Bulk,Handymax,5-10,55389
339418,Container,Feedermax,5-10,2700
339419,Container,Feedermax,5-10,2762
339420,Container,Feedermax,5-10,2700
339422,Container,Feedermax,5-10,2760
339451,Bulk,Handy,5-10,32395
339463,Bulk,Handy,5-10,32385
339466,Bulk,Handy,5-10,32379
339782,Container,Feedermax,5-10,2556
339783,Container,Feedermax,5-10,2556
339784,Container,Feedermax,5-10,2556
339845,Bulk,Capesize,5-10,177359
339849,Bulk,Capesize,5-10,177173
339850,Bulk,Capesize,5-10,177253
340580,Bulk,Handymax,5-10,50307
340940,Bulk,Capesize,5-10,171061
341052,Bulk,Panamax,5-10,76878
341135,Bulk,Handy,5-10,33745
341137,Bulk,Panamax,5-10,97045
341151,Container,Feeder,5-10,1080
341152,Bulk,Handymax,5-10,52428
341155,Bulk,Panamax,5-10,88233
341157,Bulk,Panamax,5-10,76602
341158,Bulk,Panamax,5-10,76629
341159,Bulk,Panamax,5-10,76602
341280,Bulk,Panamax,5-10,73305
341309,Bulk,Handy,5-10,32038
341317,Bulk,Handy,5-10,32040
341378,Bulk,Panamax,5-10,81800
342355,Bulk,Panamax,5-10,91439
342358,Bulk,Handy,5-10,29738
342359,Bulk,Handy,5-10,29721
342361,Bulk,Handy,5-10,29738
342362,Bulk,Handy,5-10,29734
342363,Bulk,Handy,5-10,29721
342490,Bulk,Handy,5-10,35552
342964,Container,Feeder,5-10,1678
343318,Bulk,Handymax,5-10,52483
343354,Bulk,Handymax,5-10,50246
343360,Bulk,Capesize,5-10,203163
343639,Bulk,Handymax,5-10,56020
343654,Container,Small,5-10,822
343655,Container,Small,5-10,822
343656,Container,Small,5-10,822
343726,Bulk,Handymax,5-10,52818
343728,Bulk,Handymax,5-10,52810
343729,Bulk,Handymax,5-10,52808
343730,Bulk,Handymax,5-10,52808
343754,Container,Post panamax,5-10,5551
343756,Container,Post panamax,5-10,5551
344077,Container,Panamax,5-10,4253
344101,Bulk,Capesize,5-10,171009
344103,Bulk,Capesize,5-10,171009
344105,Bulk,Capesize,5-10,171014
344107,Bulk,Capesize,5-10,171012
344108,Bulk,Capesize,5-10,171015
344207,Container,Feeder,5-10,1620
344208,Container,Feeder,5-10,1620
344210,Container,Feeder,5-10,1620
344232,Bulk,Handymax,5-10,52388
344233,Bulk,Handymax,5-10,52370
344315,Container,Post panamax,5-10,5668
344316,Container,Post panamax,5-10,5668
344317,Container,Post panamax,5-10,5668
344320,Container,Small,5-10,707
344332,Bulk,Capesize,5-10,171015
344340,Bulk,Capesize,5-10,175980
344358,Bulk,Handy,5-10,31818
344398,Bulk,Handymax,5-10,51812
344399,Bulk,Handymax,5-10,52988
344401,Bulk,Handy,5-10,36489
344402,Bulk,Handymax,5-10,52951
344410,Bulk,Handymax,5-10,55557
344413,Bulk,Handy,5-10,32662
344468,Container,Feeder,5-10,1016
344515,Bulk,Handymax,5-10,50329
344521,Bulk,Capesize,5-10,170000
344530,Bulk,Panamax,5-10,76267
344537,Bulk,Handymax,5-10,50238
344538,Bulk,Handymax,5-10,50248
344638,Bulk,Handy,5-10,25568
344639,Bulk,Panamax,5-10,73902
344645,Bulk,Panamax,5-10,75611
344646,Bulk,Panamax,5-10,75583
344647,Bulk,Panamax,5-10,75729
344648,Bulk,Panamax,5-10,75499
344666,Bulk,Panamax,5-10,75772
344670,Bulk,Handymax,5-10,53553
344684,Bulk,Handy,5-10,28657
344688,Bulk,Panamax,5-10,76423
344690,Bulk,Panamax,5-10,76015
344691,Bulk,Panamax,5-10,76015
344692,Bulk,Panamax,5-10,82214
344714,Container,Feeder,5-10,1016
344786,Container,Feedermax,5-10,2524
344787,Container,Feedermax,5-10,2532
344795,Container,Post panamax,5-10,5500
344818,Container,Panamax,5-10,4132
344819,Container,Panamax,5-10,4132
344820,Container,Panamax,5-10,4800
344823,Container,Panamax,5-10,4992
344825,Container,Post panamax,5-10,5770
344828,Container,Post panamax,5-10,5782
344829,Container,Post panamax,5-10,5782
344830,Bulk,Handy,5-10,27001
344832,Container,Post panamax,5-10,5782
344833,Container,Post panamax,5-10,5782
344835,Container,Post panamax,5-10,5782
344842,Bulk,Panamax,5-10,74823
345035,Bulk,Panamax,5-10,76466
345038,Bulk,Panamax,5-10,76466
345092,Bulk,Panamax,5-10,73641
345093,Bulk,Panamax,5-10,73640
345095,Bulk,Panamax,5-10,75912
345099,Bulk,Panamax,5-10,76466
345102,Bulk,Panamax,5-10,76263
345103,Bulk,Panamax,5-10,75730
345108,Container,Small,5-10,746
345257,Bulk,Handy,5-10,28611
345270,Bulk,Handy,5-10,33745
345271,Bulk,Handy,5-10,33745
345273,Bulk,Panamax,5-10,75707
345274,Bulk,Panamax,5-10,75785
345293,Bulk,Handymax,5-10,52571
345294,Bulk,Handymax,5-10,52249
345296,Bulk,Handymax,5-10,52498
345330,Bulk,Panamax,5-10,77834
345338,Bulk,Handymax,5-10,49416
345400,Bulk,Capesize,5-10,175980
345445,Bulk,Capesize,5-10,177662
345447,Bulk,Handymax,5-10,56042
345448,Bulk,Handymax,5-10,56056
345449,Bulk,Handymax,5-10,56029
345574,Container,Post panamax,5-10,5500
345582,Bulk,Handy,5-10,29727
345583,Bulk,Handy,5-10,35313
345603,Bulk,Panamax,5-10,76343
345604,Bulk,Panamax,5-10,76417
345605,Bulk,Panamax,5-10,76417
345609,Container,Panamax,5-10,4900
345650,Bulk,Handy,5-10,32773
345655,Bulk,Handy,5-10,29870
345659,Bulk,Capesize,5-10,170649
345660,Container,Feedermax,5-10,2556
345662,Container,Feedermax,5-10,2556
345775,Container,Feeder,5-10,1860
345776,Container,Feeder,5-10,1860
345802,Bulk,Handy,5-10,34812
345815,Bulk,Handymax,5-10,52994
345817,Bulk,Handymax,5-10,55745
345819,Bulk,Handymax,5-10,52949
345820,Bulk,Handymax,5-10,55715
345822,Bulk,Handymax,5-10,52980
345823,Bulk,Handymax,5-10,52686
345825,Bulk,Handymax,5-10,55567
345834,Container,Panamax,5-10,4900
345836,Bulk,Capesize,5-10,171320
345843,Bulk,Handymax,5-10,52483
345900,Bulk,Handymax,5-10,55646
345902,Bulk,Handymax,5-10,55580
346068,Bulk,Handymax,5-10,53169
346070,Bulk,Handymax,5-10,55707
346071,Bulk,Handymax,5-10,52532
346103,Bulk,Capesize,5-10,170012
346105,Bulk,Handymax,5-10,52441
346107,Bulk,Handy,5-10,28701
346111,Bulk,Handy,5-10,28710
346120,Bulk,Capesize,5-10,170012
346129,Bulk,Handymax,5-10,53688
346225,Container,Feedermax,5-10,2096
346226,Container,Feedermax,5-10,2096
346228,Bulk,Panamax,5-10,76469
346230,Bulk,Panamax,5-10,76447
346232,Bulk,Handymax,5-10,52471
346233,Bulk,Handymax,5-10,52471
346236,Bulk,Panamax,5-10,76508
346246,Bulk,Handy,5-10,31751
346376,Bulk,Panamax,5-10,73699
346400,Bulk,Capesize,5-10,171681
346413,Container,Feedermax,5-10,2556
346417,Container,Post panamax,5-10,8238
346419,Container,Post panamax,5-10,7488
346421,Container,Post panamax,5-10,7488
346422,Container,Post panamax,5-10,7488
346425,Bulk,Panamax,5-10,76602
346436,Bulk,Panamax,5-10,75798
346439,Bulk,Panamax,5-10,75767
346453,Bulk,Panamax,5-10,75776
346454,Bulk,Panamax,5-10,75777
346484,Container,Feeder,5-10,1740
346485,Container,Panamax,5-10,5010
346502,Container,Panamax,5-10,4000
346542,Bulk,Handy,5-10,18821
346555,Bulk,Panamax,5-10,76616
346568,Container,Small,5-10,822
346569,Container,Small,5-10,822
346573,Bulk,Panamax,5-10,77171
346575,Bulk,Panamax,5-10,77171
346596,Bulk,Panamax,5-10,74823
346628,Container,Post panamax,5-10,8468
346630,Container,Post panamax,5-10,8468
346631,Container,Post panamax,5-10,8468
346870,Bulk,Panamax,5-10,76492
346876,Bulk,Handymax,5-10,52392
346928,Container,Panamax,5-10,5000
346967,Bulk,Panamax,5-10,77598
347091,Bulk,Panamax,5-10,87052
347092,Bulk,Panamax,5-10,87052
347147,Bulk,Handy,5-10,28428
347197,Bulk,Capesize,5-10,177327
347198,Bulk,Capesize,5-10,177216
347351,Container,Panamax,5-10,5018
347352,Container,Panamax,5-10,5018
347421,Container,Panamax,5-10,4253
347423,Container,Panamax,5-10,4253
347424,Container,Panamax,5-10,4253
347425,Container,Panamax,5-10,4253
347426,Container,Panamax,5-10,4253
347483,Bulk,Panamax,5-10,75411
347672,Bulk,Handy,5-10,28498
347700,Container,Panamax,5-10,4992
347703,Container,Panamax,5-10,4900
347709,Container,Panamax,5-10,5050
347710,Container,Panamax,5-10,5060
347716,Container,Panamax,5-10,5050
347721,Container,Panamax,5-10,5060
347964,Bulk,Capesize,5-10,177325
347968,Bulk,Handymax,5-10,55741
347969,Bulk,Handymax,5-10,56034
347986,Bulk,Capesize,5-10,203195
347990,Bulk,Capesize,5-10,176274
348029,Container,Panamax,5-10,4043
348031,Container,Post panamax,5-10,5527
348032,Container,Post panamax,5-10,5527
348033,Bulk,Panamax,5-10,77834
348034,Bulk,Panamax,5-10,77834
348035,Bulk,Panamax,5-10,77834
348036,Container,Post panamax,5-10,5527
348048,Container,Post panamax,5-10,8238
348064,Container,Panamax,5-10,4839
348077,Container,Post panamax,5-10,9178
348079,Container,Post panamax,5-10,9178
348080,Container,Post panamax,5-10,9178
348085,Bulk,Handymax,5-10,52384
348087,Bulk,Panamax,5-10,88125
348089,Bulk,Handymax,5-10,53522
348124,Bulk,Handymax,5-10,50316
348130,Container,Panamax,5-10,5000
348294,Container,Unspecified,10-15,
348316,Container,Feedermax,5-10,2478
348479,Bulk,Panamax,5-10,74403
348481,Bulk,Panamax,5-10,74432
348577,Container,Small,5-10,900
348592,Bulk,Panamax,5-10,76759
348593,Bulk,Panamax,5-10,75409
348603,Bulk,Panamax,5-10,75804
348607,Bulk,Panamax,5-10,91439
348609,Bulk,Handymax,5-10,53020
348615,Bulk,Handymax,5-10,55695
348616,Bulk,Handymax,5-10,55695
348618,Bulk,Panamax,<5,77171
348622,Container,Small,5-10,957
348625,Container,Small,5-10,966
348641,Container,Post panamax,5-10,8450
348643,Bulk,Handy,5-10,28449
348645,Container,Post panamax,5-10,8450
348669,Container,Small,5-10,708
348675,Container,Small,5-10,708
348698,Bulk,Handy,5-10,32594
348909,Bulk,Panamax,5-10,82849
348911,Bulk,Panamax,5-10,82849
348912,Bulk,Panamax,5-10,82849
348913,Bulk,Panamax,5-10,76255
348914,Bulk,Panamax,5-10,76294
348916,Bulk,Panamax,5-10,82926
348917,Bulk,Panamax,5-10,77598
348919,Bulk,Panamax,5-10,77684
348920,Bulk,Panamax,5-10,77684
348946,Bulk,Handy,5-10,28371
348947,Bulk,Handy,5-10,28388
348980,Bulk,Handy,5-10,31893
