id,name,country,lat,long,usedstart,usedend
407,Sevastopol,UKR,44.632,33.5664,2660,2310
409,Portocel,BRA,-19.843,-40.0617,2673,6685
410,Matsuura,JPN,33.35,129.7333,2692,2032
411,Barao de Teffe,BRA,-25.4539,-48.6877,2718,21968
417,Sydney(NS),CAN,46.15,-60.2,2731,28157
424,Tonsberg,NOR,59.2667,10.4167,2732,3281
426,Damietta,EGY,31.3833,31.8,2733,420
427,Port Hawkesbury,CAN,45.6156,-61.3631,2798,2842
434,Skagway,USA,59.45,-135.3167,2804,2033
446,Las Piedras,VEN,11.7167,-70.22,2806,16119
448,Whangarei,NZL,-35.7333,174.35,2807,3784
450,Bundaberg,AUS,-24.8067,152.4003,2835,15245
452,Puerto Bolivar(COL),COL,12.2667,-71.95,2839,1759
460,Greenore,IRL,54.0333,-6.1333,2901,1621
470,Ponta da Madeira,BRA,-2.5656,-44.3742,2905,1760
473,Elsinore,DNK,56.0333,12.6167,2978,17426
474,Ingleside,USA,27.8422,-97.2209,2979,4263
475,Sandy Point(USA),USA,48.8,-122.7,3007,27476
484,Valletta,MLT,35.8947,14.5072,3008,2738
490,Guayaquil,ECU,-2.2833,-79.9167,3023,37
496,Finnart,GBR,56.1153,-4.835,3072,11880
501,Illichivsk,UKR,46.3164,30.6578,3073,2311
502,Kawasaki,JPN,35.5,139.75,3098,22
511,Manfredonia,ITA,41.6167,15.9167,3199,4265
517,Piney Point,USA,38.1333,-76.5333,3205,2843
518,Puerto de Hierro,VEN,10.6333,-62.1,3206,14802
519,Chennai Anch.,IND,13.0778,80.3458,3207,954
521,Far East,CHN,,,3209,45251
528,Archangel,RUS,64.5333,40.5,3210,5289
535,Male,MDV,4.1667,73.5,3219,7151
536,Long Island(NY USA),USA,,,3222,4266
538,Buchanan(LBR),LBR,5.85,-10.0667,3243,4267
543,Goeje Is.,KOR,34.8806,128.6211,3245,no
544,Hound Point,GBR,56.0053,-3.3614,3251,31878
545,North Europe,,,,3252,33504
549,St. Kitts,KNA,17.3,-62.7167,3253,13147
550,Mayaguez,PRI,18.2,-67.15,3254,12187
551,Punta Cardon,VEN,11.6511,-70.2156,3255,4095
552,Vordingborg,DNK,55,11.9,3272,13104
558,Guayabal,CUB,20.7,-77.6167,3273,4269
570,Portneuf,CAN,48.6281,-69.1289,3274,22729
576,Antwerp,BEL,51.2558,4.3902,3275,158
577,Arroyo Seco,ARG,-33.1292,-60.5178,3375,1733
585,Ridham Dock,GBR,51.3836,0.7603,3407,43101
587,Kalianget,IDN,-7.0667,113.9833,3408,30678
593,Shimizu,JPN,35.032,138.4964,3409,23
