id,flag,type,size,age,owner,operator
726579,HKG,Container,Post panamax,<5,Orient Overseas (International) Limited,Orient Overseas Container Line Limited (OOCL)
726581,HKG,Container,Post panamax,<5,Orient Overseas (International) Limited,Orient Overseas Container Line Limited (OOCL)
726584,HKG,Container,Post panamax,<5,Orient Overseas (International) Limited,Orient Overseas Container Line Limited (OOCL)
726880,IDN,Bulk,Handymax,<5,P.T. Tanto Intim Line,PT. Lumoso Pratama Line
728689,HKG,Bulk,Panamax,<5,Jinhui Shipping & Transportation Limited,Goldbeam International Limited
731244,PAN,Bulk,Handymax,<5,Yamamaru Kisen K.K.,Central Marine Company Limited
731765,MHL,Container,Feeder,<5,Rickmers Reederei GmbH & Cie KG,Polaris Shipmanagement Company Limited
738498,PAN,Bulk,Panamax,<5,Santoku Senpaku K.K. (Santoku Shipping Company Limited),Santoku Senpaku K.K. (Santoku Shipping Company Limited)
738499,PAN,Bulk,Panamax,<5,Kyowa Sansho K.K.,Kyowa Sansho K.K.
738502,MHL,Bulk,Panamax,<5,N.J. Goulandris Limited,Andriaki Shipping Company Limited
738503,MHL,Bulk,Panamax,<5,N.J. Goulandris Limited,Andriaki Shipping Company Limited
738504,MHL,Bulk,Panamax,<5,N.J. Goulandris Limited,Andriaki Shipping Company Limited
738505,MHL,Bulk,Panamax,<5,N.J. Goulandris Limited,Andriaki Shipping Company Limited
738593,GIB,Bulk,Handy,<5,Aug. Bolten Wm. Miller's Nachfolger (GmbH & Company) KG,Aug. Bolten Wm. Miller's Nachfolger (GmbH & Company) KG
739932,LBR,Bulk,Handy,<5,MST Mineralien Schiffahrt Spedition und Transport GmbH,MST Mineralien Schiffahrt Spedition und Transport GmbH
739934,CYP,Bulk,Handy,<5,Navarone S.A.,Navarone S.A.
739935,CYP,Bulk,Handy,<5,Navarone S.A.,Navarone S.A.
739936,MLT,Container,Small,<5,Reederei Bernd Drewitz GmbH & Company KG,Reederei Bernd Drewitz GmbH & Company KG
741916,MHL,Bulk,Panamax,<5,SW Shipping Company Limited,SW Shipping Company Limited
741917,ITA,Bulk,Panamax,<5,Giuseppe Bottiglieri Shipping Company S.p.A.,Giuseppe Bottiglieri Shipping Company S.p.A.
741921,SGP,Bulk,Panamax,<5,Mercator Limited,Mercator Limited
741923,ITA,Bulk,Panamax,<5,Giuseppe Bottiglieri Shipping Company S.p.A.,Giuseppe Bottiglieri Shipping Company S.p.A.
741924,ITA,Bulk,Panamax,<5,Gestioni Armatoriali S.p.A.,Gestioni Armatoriali S.p.A.
741925,ITA,Bulk,Panamax,<5,Giuseppe Bottiglieri Shipping Company S.p.A.,Giuseppe Bottiglieri Shipping Company S.p.A.
741928,MHL,Bulk,Panamax,<5,Liberty di Navigazione S.r.l.,Liberty di Navigazione S.r.l.
741929,ITA,Bulk,Panamax,<5,Giuseppe Bottiglieri Shipping Company S.p.A.,Giuseppe Bottiglieri Shipping Company S.p.A.
741994,ITA,Bulk,Panamax,<5,Gestioni Armatoriali S.p.A.,Gestioni Armatoriali S.p.A.
741996,ITA,Bulk,Panamax,<5,Giuseppe Bottiglieri Shipping Company S.p.A.,Giuseppe Bottiglieri Shipping Company S.p.A.
744003,MLT,Bulk,Panamax,<5,Iolcos Hellenic Maritime Enterprises Company Limited,Iolcos Hellenic Maritime Enterprises Company Limited
744004,MLT,Bulk,Panamax,<5,Iolcos Hellenic Maritime Enterprises Company Limited,Iolcos Hellenic Maritime Enterprises Company Limited
744007,MLT,Bulk,Panamax,<5,Iolcos Hellenic Maritime Enterprises Company Limited,Iolcos Hellenic Maritime Enterprises Company Limited
744008,MLT,Bulk,Panamax,<5,Iolcos Hellenic Maritime Enterprises Company Limited,Iolcos Hellenic Maritime Enterprises Company Limited
744237,GRC,Bulk,Capesize,<5,Kanellakis group of companies,Alpha Bulkers Shipmanagement Incorporated
744239,MLT,Bulk,Capesize,<5,Kanellakis group of companies,Alpha Bulkers Shipmanagement Incorporated
747013,PAN,Bulk,Panamax,<5,Sojitz Corporation,Sojitz Marine & Engineering Corporation
747014,PAN,Bulk,Panamax,<5,Sumitomo Corporation,Sumisho Marine
747016,MHL,Bulk,Capesize,<5,Genco Shipping & Trading Limited,Genco Ship Management LLC
747019,MHL,Bulk,Capesize,<5,Genco Shipping & Trading Limited,Genco Ship Management LLC
747021,MHL,Bulk,Capesize,<5,Genco Shipping & Trading Limited,Genco Ship Management LLC
747022,LBR,Bulk,Capesize,<5,KG Allgemeine Leasing GmbH & Company (KGAL),KG Allgemeine Leasing GmbH & Company (KGAL)
747023,IND,Bulk,Capesize,<5,Five Stars Bulk Carriers Limited,Five Stars Bulk Carriers Limited
747044,GRC,Bulk,Capesize,<5,Marmaras Navigation Limited,Marmaras Navigation Limited
747045,LBR,Bulk,Capesize,<5,Coronis Shipping Company Limited,Carras (Hellas) Limited
747046,SGP,Bulk,Handymax,<5,Thoresen Thai Agencies Public Company Limited,Thoresen & Company (Bangkok) Limited
747049,HKG,Bulk,Capesize,<5,Mayfair Hong Kong Limited,Mayfair Hong Kong Limited
747053,HKG,Bulk,Capesize,<5,Mayfair Hong Kong Limited,Mayfair Hong Kong Limited
747055,HKG,Bulk,Capesize,<5,Mayfair Hong Kong Limited,Mayfair Hong Kong Limited
747057,HKG,Bulk,Capesize,<5,Mayfair Hong Kong Limited,Mayfair Hong Kong Limited
747473,CYP,Bulk,Panamax,<5,Sinokor Company Limited,Sinokor Merchant Marine Company Limited
