VESSEL ID,VESSEL_NAME,VESSEL_TYPE,PLACE_NAME,COUNTRY_NAME,AREA_NAME,ARRIVAL_DATE,DEPARTURE_DATE
224736,Hojin,vehicle carrier,Port Said,Arab Republic of Egypt,North African coast,2/27/11,2/27/11
224736,Hojin,vehicle carrier,Beirut,Lebanon,"Eastern Mediterranean inc Cyprus, Turkey",2/28/11,2/28/11
224736,Hojin,vehicle carrier,Tartous,Syria,"Eastern Mediterranean inc Cyprus, Turkey",3/1/11,3/3/11
224736,Hojin,vehicle carrier,Piraeus,Greece,European Mediterranean coast,3/3/11,3/3/11
224736,Hojin,vehicle carrier,Messina Strait,Italy,European Mediterranean coast,3/5/11,3/5/11
224736,Hojin,vehicle carrier,Gioia Tauro,Italy,European Mediterranean coast,3/5/11,3/6/11
224736,Hojin,vehicle carrier,Gibraltar,Gibraltar,European Mediterranean coast,3/8/11,3/8/11
224736,Hojin,vehicle carrier,Bristol,United Kingdom,United Kingdom inc Eire,3/12/11,3/12/11
224736,Hojin,vehicle carrier,Zeebrugge,Belgium,North European Atlantic coast,3/14/11,3/15/11
224736,Hojin,vehicle carrier,Emden,Germany,North European Atlantic coast,3/16/11,3/17/11
224736,Hojin,vehicle carrier,Bremerhaven,Germany,North European Atlantic coast,3/18/11,3/18/11
224736,Hojin,vehicle carrier,Dover Strait,United Kingdom,United Kingdom inc Eire,3/19/11,3/19/11
224736,Hojin,vehicle carrier,Panama Canal,Panama,Central America inc Mexico to Panama,4/3/11,4/3/11
224736,Hojin,vehicle carrier,Balboa,Panama,Central America inc Mexico to Panama,4/3/11,4/4/11
224736,Hojin,vehicle carrier,San Diego,United States of America,"West coast North America inc USA, Canada & Alaska",4/12/11,4/12/11
224736,Hojin,vehicle carrier,Port Hueneme,United States of America,"West coast North America inc USA, Canada & Alaska",4/13/11,4/13/11
224736,Hojin,vehicle carrier,Yokohama,Japan,Japan,4/28/11,4/28/11
224736,Hojin,vehicle carrier,Shimizu,Japan,Japan,5/26/11,5/27/11
224736,Hojin,vehicle carrier,Yokohama,Japan,Japan,5/28/11,5/28/11
224736,Hojin,vehicle carrier,Yokohama,Japan,Japan,5/31/11,6/1/11
224736,Hojin,vehicle carrier,Nagoya,Japan,Japan,6/2/11,6/3/11
224736,Hojin,vehicle carrier,Mizushima,Japan,Japan,6/5/11,6/5/11
224736,Hojin,vehicle carrier,Townsville,Australia,"Australia, New Zealand, New Guinea etc",6/15/11,6/15/11
224736,Hojin,vehicle carrier,Brisbane,Australia,"Australia, New Zealand, New Guinea etc",6/17/11,6/18/11
224736,Hojin,vehicle carrier,Port Kembla,Australia,"Australia, New Zealand, New Guinea etc",6/20/11,6/20/11
